node_number;x[m];y[m];z[m]
6448.0;9.6;5.2;-0.679985980481
6449.0;9.6;4.8;-0.745260869145
6450.0;9.6;4.4;-0.810526373313
6451;;;;
6452.0;10.0;5.6;-0.658224569258
6453.0;10.0;5.2;-0.712626975607
6454.0;10.0;4.8;-0.767016469461
6455.0;10.0;4.4;-0.821404150266
6456;;;;
6457.0;10.4;8.0;-0.445053417974
6458.0;10.4;7.6;-0.487472558566
6459.0;10.4;7.2;-0.529889426701
6460.0;10.4;6.8;-0.572299009105
6461.0;10.4;6.4;-0.614936791315
6462.0;10.4;6.0;-0.658224569258
6463.0;10.4;5.6;-0.701746989789
6464.0;10.4;5.2;-0.745260802051
6465.0;10.4;4.8;-0.788771730184
6466.0;10.4;4.4;-0.832282247932
6467;;;;
6468.0;10.8;8.0;-0.552732576881
6469.0;10.8;7.6;-0.58428005493
6470.0;10.8;7.2;-0.615808688932
6471.0;10.8;6.8;-0.647572913279
6472.0;10.8;6.4;-0.679985980484
6473.0;10.8;6.0;-0.712626975608
6474.0;10.8;5.6;-0.745260802047
6475.0;10.8;5.2;-0.777894241906
6476.0;10.8;4.8;-0.81052750552
6477.0;10.8;4.4;-0.84316020647
6478;;;;
6479.0;11.2;8.0;-0.660424328845
6480.0;11.2;7.6;-0.68107523063
6481.0;11.2;7.2;-0.701956637559
6482.0;11.2;6.8;-0.723493665734
6483.0;11.2;6.4;-0.74526086914
6484.0;11.2;6.0;-0.767016469463
6485.0;11.2;5.6;-0.788771730186
6486.0;11.2;5.2;-0.810527505518
6487.0;11.2;4.8;-0.832282860156
6488.0;11.2;4.4;-0.854037695431
6489;;;;
6490.0;11.6;8.0;-0.768124591739
6491.0;11.6;7.6;-0.778099956193
6492.0;11.6;7.2;-0.78875748768
6493.0;11.6;6.8;-0.799646531807
6494.0;11.6;6.4;-0.810526373315
6495.0;11.6;6.0;-0.821404150264
6496.0;11.6;5.6;-0.832282247927
6497.0;11.6;5.2;-0.843160206464
6498.0;11.6;4.8;-0.854037695439
6499.0;11.6;4.4;-0.8649139554
6500;;;;
6501.0;12.0;8.0;-0.875795444421
6502.0;12.0;7.6;-0.875829757671
6503.0;12.0;7.2;-0.875805036378
6504.0;12.0;6.8;-0.875796292545
6505.0;12.0;6.4;-0.875795014322
6506.0;12.0;6.0;-0.875795222958
6507.0;12.0;5.6;-0.875795326161
6508.0;12.0;5.2;-0.87579564475
6509.0;12.0;4.8;-0.875798066728
6510.0;12.0;4.4;-0.875805762621
6511;;;;
6512.0;8.0;8.1;0.00294246953539
6513.0;8.0;8.2;0.00159755083454
6514.0;8.0;8.3;-0.00365332543819
6515.0;8.0;8.4;-0.0125422410223
6516.0;8.0;8.5;-0.0247284770395
6517.0;8.0;8.6;-0.0392875279942
6518.0;8.0;8.7;-0.0547181425848
6519.0;8.0;8.8;-0.0700564239163
6520.0;8.0;8.9;-0.0856553869076
6521.0;8.0;9.0;-0.102399258395
6522.0;8.0;9.1;-0.120565117645
6523.0;8.0;9.2;-0.13982058268
6524.0;8.0;9.3;-0.160051466062
6525.0;8.0;9.4;-0.181665182221
6526.0;8.0;9.5;-0.205035596235
6527.0;8.0;9.6;-0.230085479471
6528.0;8.0;9.7;-0.256386314886
6529.0;8.0;9.8;-0.283357680752
6530.0;8.0;9.9;-0.310461293958
6531.0;8.0;10.0;-0.337426586962
6532.0;8.1;8.1;0.00202823304111
6533.0;8.1;8.2;-0.00281060612466
6534.0;8.1;8.3;-0.0111353020045
6535.0;8.1;8.4;-0.0223031056398
6536.0;8.1;8.5;-0.0354726982762
6537.0;8.1;8.6;-0.0498541372204
6538.0;8.1;8.7;-0.0648901586338
6539.0;8.1;8.8;-0.0803757689015
6540.0;8.1;8.9;-0.0965121959086
6541.0;8.1;9.0;-0.113685500351
6542.0;8.1;9.1;-0.132135658807
6543.0;8.1;9.2;-0.151896400954
6544.0;8.1;9.3;-0.173021154962
6545.0;8.1;9.4;-0.195684503308
6546.0;8.1;9.5;-0.219927906248
6547.0;8.1;9.6;-0.245416743847
6548.0;8.1;9.7;-0.271592975782
6549.0;8.1;9.8;-0.297991880867
6550.0;8.1;9.9;-0.324366633988
6551.0;8.1;10.0;-0.35064676299
6552.0;8.2;8.1;-0.00281060612508
6553.0;8.2;8.2;-0.0106900065663
6554.0;8.2;8.3;-0.0214574420145
6555.0;8.2;8.4;-0.0341850748285
6556.0;8.2;8.5;-0.0477138924528
6557.0;8.2;8.6;-0.0615154042035
6558.0;8.2;8.7;-0.0760079422831
6559.0;8.2;8.8;-0.0916756360558
6560.0;8.2;8.9;-0.108451311343
6561.0;8.2;9.0;-0.126149410788
6562.0;8.2;9.1;-0.14497990465
6563.0;8.2;9.2;-0.165364504671
6564.0;8.2;9.3;-0.187465396476
6565.0;8.2;9.4;-0.211111344162
