Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
84;1;0.450;-0.350;-3.340;-0.50;-0.44;0.04;0.63;-1.45;-4.92;-8.98;0.13
85;1;0.450;-0.450;-3.362;-0.40;-0.32;0.00;0.00;-0.98;-4.32;-8.84;0.02
86;1;0.450;-0.550;-3.385;-0.30;-0.24;-0.02;-0.28;-0.63;-3.81;-8.75;0.01
87;1;0.450;-0.650;-3.407;-0.21;-0.19;-0.03;-0.37;-0.38;-3.39;-8.63;0.03
88;1;0.450;-0.750;-3.429;-0.14;-0.15;-0.03;-0.37;-0.22;-3.05;-8.47;0.05
89;1;0.450;-0.850;-3.451;-0.10;-0.13;-0.03;-0.33;-0.11;-2.78;-8.28;0.06
90;1;0.450;-0.950;-3.473;-0.07;-0.11;-0.02;-0.28;-0.04;-2.58;-8.08;0.06
91;1;0.450;-1.050;-3.495;-0.05;-0.10;-0.02;-0.24;-0.01;-2.45;-7.84;0.04
92;1;0.450;-1.150;-3.518;-0.04;-0.09;-0.01;-0.22;-0.01;-2.37;-7.56;-0.02
93;1;0.450;-1.250;-3.540;-0.02;-0.08;-0.01;-0.20;-0.03;-2.36;-7.22;-0.09
94;1;0.450;-1.350;-3.562;-0.01;-0.07;-0.01;-0.20;-0.05;-2.41;-6.83;-0.18
95;1;0.450;-1.450;-3.584;0.00;-0.07;0.00;-0.21;-0.06;-2.54;-6.40;-0.26
96;1;0.450;-1.550;-3.606;0.02;-0.06;0.00;-0.21;-0.04;-2.72;-5.99;-0.33
97;1;0.450;-1.650;-3.629;0.03;-0.06;0.00;-0.21;-0.01;-2.96;-5.60;-0.40
98;1;0.450;-1.750;-3.651;0.05;-0.06;0.00;-0.21;0.00;-3.25;-5.20;-0.47
99;1;0.450;-1.850;-3.673;0.06;-0.05;0.01;-0.22;0.01;-3.59;-4.77;-0.53
100;1;0.450;-1.950;-3.695;0.07;-0.05;0.01;-0.23;0.03;-3.95;-4.33;-0.59
101;1;0.550;-0.050;-3.298;-0.37;-0.63;0.42;2.50;-0.29;-6.98;-8.81;1.56
102;1;0.550;-0.150;-3.320;-0.37;-0.56;0.24;2.53;-1.24;-6.08;-9.15;0.67
103;1;0.550;-0.250;-3.341;-0.39;-0.43;0.13;1.64;-1.21;-5.15;-8.97;0.32
104;1;0.550;-0.350;-3.363;-0.36;-0.32;0.06;0.81;-0.91;-4.39;-8.84;0.10
105;1;0.550;-0.450;-3.385;-0.30;-0.24;0.02;0.28;-0.63;-3.82;-8.74;0.02
106;1;0.550;-0.550;-3.406;-0.23;-0.19;0.00;0.00;-0.41;-3.39;-8.66;0.01
107;1;0.550;-0.650;-3.428;-0.17;-0.15;-0.01;-0.13;-0.24;-3.05;-8.57;0.03
108;1;0.550;-0.750;-3.449;-0.12;-0.13;-0.01;-0.17;-0.12;-2.80;-8.45;0.05
109;1;0.550;-0.850;-3.471;-0.09;-0.11;-0.01;-0.18;-0.05;-2.63;-8.27;0.05
110;1;0.550;-0.950;-3.492;-0.07;-0.10;-0.01;-0.16;-0.02;-2.52;-8.08;0.04
111;1;0.550;-1.050;-3.514;-0.06;-0.09;-0.01;-0.15;-0.02;-2.47;-7.88;0.01
112;1;0.550;-1.150;-3.535;-0.05;-0.09;-0.01;-0.15;-0.03;-2.47;-7.66;-0.04
113;1;0.550;-1.250;-3.557;-0.04;-0.08;-0.01;-0.15;-0.04;-2.52;-7.42;-0.12
114;1;0.550;-1.350;-3.579;-0.03;-0.08;-0.01;-0.18;-0.05;-2.62;-7.14;-0.19
115;1;0.550;-1.450;-3.600;-0.01;-0.07;-0.01;-0.21;-0.04;-2.76;-6.78;-0.25
116;1;0.550;-1.550;-3.622;0.00;-0.06;0.00;-0.23;-0.03;-2.95;-6.36;-0.30
117;1;0.550;-1.650;-3.643;0.01;-0.06;0.00;-0.23;-0.01;-3.19;-5.93;-0.34
118;1;0.550;-1.750;-3.665;0.02;-0.05;0.00;-0.21;0.00;-3.49;-5.53;-0.37
119;1;0.550;-1.850;-3.686;0.04;-0.05;0.00;-0.19;0.01;-3.84;-5.15;-0.42
120;1;0.550;-1.950;-3.708;0.05;-0.05;0.01;-0.16;0.00;-4.22;-4.77;-0.49
121;1;0.650;-0.050;-3.323;-0.20;-0.47;0.35;1.90;-0.09;-6.43;-8.65;1.46
122;1;0.650;-0.150;-3.344;-0.22;-0.41;0.21;2.08;-0.82;-5.48;-8.95;0.56
123;1;0.650;-0.250;-3.365;-0.25;-0.31;0.12;1.43;-0.76;-4.57;-8.76;0.22
124;1;0.650;-0.350;-3.386;-0.24;-0.24;0.06;0.79;-0.56;-3.89;-8.67;0.05
125;1;0.650;-0.450;-3.407;-0.21;-0.19;0.03;0.37;-0.39;-3.40;-8.62;-0.01
126;1;0.650;-0.550;-3.428;-0.17;-0.15;0.01;0.13;-0.24;-3.06;-8.57;-0.01
127;1;0.650;-0.650;-3.449;-0.13;-0.13;0.00;0.00;-0.13;-2.81;-8.49;0.01
128;1;0.650;-0.750;-3.470;-0.10;-0.12;0.00;-0.06;-0.05;-2.66;-8.38;0.02
129;1;0.650;-0.850;-3.490;-0.08;-0.11;-0.01;-0.08;-0.02;-2.57;-8.24;0.03
130;1;0.650;-0.950;-3.511;-0.07;-0.10;-0.01;-0.09;-0.02;-2.55;-8.09;0.01
131;1;0.650;-1.050;-3.532;-0.06;-0.09;-0.01;-0.10;-0.03;-2.56;-7.91;-0.02
132;1;0.650;-1.150;-3.553;-0.05;-0.08;-0.01;-0.11;-0.04;-2.61;-7.72;-0.07
133;1;0.650;-1.250;-3.574;-0.05;-0.08;-0.01;-0.13;-0.04;-2.70;-7.51;-0.12
134;1;0.650;-1.350;-3.595;-0.04;-0.07;-0.01;-0.16;-0.03;-2.81;-7.28;-0.18
135;1;0.650;-1.450;-3.616;-0.03;-0.07;-0.01;-0.18;-0.02;-2.97;-7.00;-0.23
136;1;0.650;-1.550;-3.637;-0.02;-0.07;0.00;-0.19;-0.02;-3.18;-6.68;-0.28
137;1;0.650;-1.650;-3.658;0.00;-0.06;0.00;-0.20;-0.02;-3.44;-6.31;-0.31
138;1;0.650;-1.750;-3.679;0.01;-0.06;0.00;-0.20;-0.02;-3.76;-5.94;-0.34
139;1;0.650;-1.850;-3.700;0.02;-0.06;0.00;-0.19;-0.02;-4.13;-5.57;-0.37
140;1;0.650;-1.950;-3.721;0.03;-0.05;0.00;-0.18;-0.03;-4.52;-5.19;-0.42
141;1;0.750;-0.050;-3.348;-0.09;-0.36;0.28;1.51;-0.01;-5.82;-8.31;1.34
142;1;0.750;-0.150;-3.368;-0.11;-0.31;0.18;1.74;-0.59;-4.86;-8.68;0.46
143;1;0.750;-0.250;-3.388;-0.15;-0.24;0.11;1.20;-0.47;-4.03;-8.55;0.14
144;1;0.750;-0.350;-3.409;-0.16;-0.18;0.06;0.70;-0.33;-3.45;-8.48;0.01
145;1;0.750;-0.450;-3.429;-0.14;-0.15;0.03;0.37;-0.22;-3.06;-8.47;-0.04
146;1;0.750;-0.550;-3.449;-0.12;-0.13;0.01;0.17;-0.12;-2.81;-8.44;-0.03
147;1;0.750;-0.650;-3.470;-0.10;-0.12;0.01;0.06;-0.05;-2.66;-8.38;-0.01
148;1;0.750;-0.750;-3.490;-0.09;-0.11;0.00;0.00;-0.02;-2.59;-8.29;0.01
149;1;0.750;-0.850;-3.510;-0.08;-0.10;0.00;-0.03;-0.02;-2.59;-8.18;0.01
150;1;0.750;-0.950;-3.530;-0.07;-0.09;0.00;-0.05;-0.03;-2.62;-8.06;-0.01
151;1;0.750;-1.050;-3.551;-0.07;-0.09;-0.01;-0.07;-0.03;-2.68;-7.92;-0.04
152;1;0.750;-1.150;-3.571;-0.06;-0.08;-0.01;-0.09;-0.03;-2.76;-7.76;-0.08
153;1;0.750;-1.250;-3.591;-0.06;-0.08;-0.01;-0.11;-0.03;-2.86;-7.56;-0.12
154;1;0.750;-1.350;-3.612;-0.05;-0.07;-0.01;-0.13;-0.02;-3.00;-7.34;-0.17
155;1;0.750;-1.450;-3.632;-0.04;-0.07;-0.01;-0.14;-0.02;-3.18;-7.11;-0.21
156;1;0.750;-1.550;-3.652;-0.03;-0.07;-0.01;-0.15;-0.01;-3.42;-6.87;-0.24
157;1;0.750;-1.650;-3.673;-0.02;-0.07;-0.01;-0.16;-0.02;-3.70;-6.60;-0.27
158;1;0.750;-1.750;-3.693;-0.01;-0.06;0.00;-0.18;-0.02;-4.03;-6.29;-0.30
159;1;0.750;-1.850;-3.713;0.01;-0.06;0.00;-0.18;-0.02;-4.40;-5.95;-0.31
160;1;0.750;-1.950;-3.734;0.02;-0.06;0.00;-0.20;-0.02;-4.78;-5.59;-0.32
161;1;0.850;-0.050;-3.372;-0.01;-0.27;0.22;1.25;0.03;-5.19;-7.79;1.19
162;1;0.850;-0.150;-3.392;-0.04;-0.24;0.14;1.45;-0.44;-4.26;-8.30;0.35
163;1;0.850;-0.250;-3.412;-0.09;-0.19;0.09;0.97;-0.29;-3.54;-8.30;0.08
164;1;0.850;-0.350;-3.431;-0.10;-0.15;0.05;0.58;-0.18;-3.08;-8.28;-0.03
165;1;0.850;-0.450;-3.451;-0.10;-0.13;0.03;0.33;-0.11;-2.79;-8.28;-0.05
166;1;0.850;-0.550;-3.471;-0.09;-0.11;0.01;0.17;-0.05;-2.64;-8.27;-0.04
167;1;0.850;-0.650;-3.490;-0.08;-0.11;0.01;0.08;-0.02;-2.58;-8.24;-0.02
168;1;0.850;-0.750;-3.510;-0.08;-0.10;0.00;0.03;-0.02;-2.59;-8.18;0.00
169;1;0.850;-0.850;-3.530;-0.07;-0.09;0.00;0.00;-0.03;-2.64;-8.11;0.00
170;1;0.850;-0.950;-3.550;-0.07;-0.09;0.00;-0.02;-0.03;-2.71;-8.01;-0.01
171;1;0.850;-1.050;-3.569;-0.07;-0.08;0.00;-0.05;-0.03;-2.80;-7.88;-0.04
172;1;0.850;-1.150;-3.589;-0.07;-0.08;0.00;-0.07;-0.03;-2.90;-7.74;-0.07
173;1;0.850;-1.250;-3.609;-0.06;-0.08;-0.01;-0.09;-0.02;-3.03;-7.56;-0.10
174;1;0.850;-1.350;-3.628;-0.06;-0.07;-0.01;-0.11;-0.02;-3.18;-7.36;-0.14
175;1;0.850;-1.450;-3.648;-0.05;-0.07;-0.01;-0.12;-0.02;-3.39;-7.16;-0.17
176;1;0.850;-1.550;-3.668;-0.04;-0.07;-0.01;-0.13;-0.01;-3.63;-6.95;-0.18
177;1;0.850;-1.650;-3.687;-0.03;-0.07;-0.01;-0.15;-0.01;-3.92;-6.73;-0.19
178;1;0.850;-1.750;-3.707;-0.02;-0.06;-0.01;-0.16;-0.01;-4.24;-6.47;-0.19
179;1;0.850;-1.850;-3.727;-0.01;-0.06;-0.01;-0.17;-0.01;-4.58;-6.19;-0.18
180;1;0.850;-1.950;-3.746;0.00;-0.06;0.00;-0.19;0.00;-4.94;-5.87;-0.15
181;1;0.950;-0.050;-3.397;0.04;-0.20;0.16;1.05;0.05;-4.55;-7.11;1.03
182;1;0.950;-0.150;-3.416;0.00;-0.18;0.10;1.20;-0.32;-3.70;-7.77;0.25
183;1;0.950;-0.250;-3.435;-0.05;-0.15;0.06;0.78;-0.18;-3.12;-7.97;0.04
184;1;0.950;-0.350;-3.454;-0.07;-0.13;0.04;0.47;-0.09;-2.78;-8.06;-0.04
185;1;0.950;-0.450;-3.473;-0.07;-0.11;0.02;0.28;-0.04;-2.59;-8.07;-0.06
186;1;0.950;-0.550;-3.492;-0.07;-0.10;0.01;0.16;-0.02;-2.53;-8.08;-0.04
187;1;0.950;-0.650;-3.511;-0.07;-0.10;0.01;0.09;-0.02;-2.55;-8.08;0.00
188;1;0.950;-0.750;-3.530;-0.07;-0.09;0.00;0.05;-0.03;-2.62;-8.06;0.02
189;1;0.950;-0.850;-3.550;-0.07;-0.09;0.00;0.02;-0.03;-2.71;-8.01;0.02
190;1;0.950;-0.950;-3.569;-0.08;-0.09;0.00;0.00;-0.03;-2.81;-7.93;0.00
191;1;0.950;-1.050;-3.588;-0.08;-0.08;0.00;-0.02;-0.02;-2.92;-7.81;-0.02
192;1;0.950;-1.150;-3.607;-0.07;-0.08;0.00;-0.05;-0.02;-3.04;-7.68;-0.05
193;1;0.950;-1.250;-3.626;-0.07;-0.07;0.00;-0.07;-0.02;-3.18;-7.53;-0.08
194;1;0.950;-1.350;-3.645;-0.06;-0.07;-0.01;-0.08;-0.01;-3.36;-7.36;-0.10
195;1;0.950;-1.450;-3.664;-0.06;-0.07;-0.01;-0.10;-0.01;-3.57;-7.18;-0.11
196;1;0.950;-1.550;-3.683;-0.05;-0.07;-0.01;-0.12;-0.01;-3.81;-6.98;-0.10
197;1;0.950;-1.650;-3.702;-0.04;-0.06;-0.01;-0.13;0.00;-4.08;-6.78;-0.08
198;1;0.950;-1.750;-3.721;-0.03;-0.06;-0.01;-0.15;0.00;-4.38;-6.56;-0.05
199;1;0.950;-1.850;-3.740;-0.02;-0.06;-0.01;-0.16;0.01;-4.70;-6.31;-0.01
200;1;0.950;-1.950;-3.759;-0.01;-0.06;-0.01;-0.17;0.01;-5.04;-6.04;0.03
201;1;1.050;-0.050;-3.422;0.07;-0.15;0.11;0.91;0.06;-3.91;-6.31;0.85
202;1;1.050;-0.150;-3.440;0.02;-0.13;0.07;0.98;-0.20;-3.19;-7.11;0.18
203;1;1.050;-0.250;-3.459;-0.02;-0.12;0.05;0.62;-0.12;-2.77;-7.51;0.03
204;1;1.050;-0.350;-3.477;-0.04;-0.11;0.03;0.39;-0.05;-2.54;-7.75;-0.02
205;1;1.050;-0.450;-3.495;-0.05;-0.10;0.02;0.24;-0.02;-2.46;-7.84;-0.03
206;1;1.050;-0.550;-3.514;-0.06;-0.09;0.01;0.15;-0.02;-2.48;-7.88;-0.01
207;1;1.050;-0.650;-3.532;-0.06;-0.09;0.01;0.10;-0.03;-2.56;-7.91;0.03
208;1;1.050;-0.750;-3.551;-0.07;-0.09;0.01;0.07;-0.03;-2.68;-7.92;0.05
209;1;1.050;-0.850;-3.569;-0.07;-0.08;0.00;0.05;-0.03;-2.80;-7.88;0.04
