Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
132;1;0.650;-1.150;-3.553;-0.06;0.01;-0.02;-0.12;0.07;-1.04;-19.56;-2.02
133;1;0.650;-1.250;-3.574;-0.06;0.01;-0.03;-0.14;0.09;-0.80;-18.85;-2.03
134;1;0.650;-1.350;-3.595;-0.05;0.00;-0.03;-0.16;0.10;-0.57;-18.19;-1.96
135;1;0.650;-1.450;-3.616;-0.04;0.00;-0.03;-0.17;0.11;-0.38;-17.53;-1.82
136;1;0.650;-1.550;-3.637;-0.03;-0.01;-0.03;-0.18;0.11;-0.23;-16.87;-1.63
137;1;0.650;-1.650;-3.658;-0.03;-0.01;-0.02;-0.19;0.11;-0.11;-16.19;-1.41
138;1;0.650;-1.750;-3.679;-0.02;-0.02;-0.02;-0.19;0.11;-0.04;-15.47;-1.15
139;1;0.650;-1.850;-3.700;-0.01;-0.03;-0.02;-0.20;0.12;0.02;-14.75;-0.87
140;1;0.650;-1.950;-3.721;0.00;-0.04;-0.02;-0.20;0.12;0.06;-14.01;-0.57
141;1;0.750;-0.050;-3.348;-0.18;-0.25;0.30;2.61;-0.85;-21.19;-32.62;17.05
142;1;0.750;-0.150;-3.368;-0.26;-0.15;0.20;1.91;-0.78;-15.30;-30.49;12.48
143;1;0.750;-0.250;-3.388;-0.28;-0.07;0.13;1.24;-0.64;-10.59;-28.67;8.75
144;1;0.750;-0.350;-3.409;-0.25;-0.02;0.08;0.74;-0.52;-7.13;-27.06;5.82
145;1;0.750;-0.450;-3.429;-0.21;0.01;0.04;0.40;-0.41;-4.77;-25.61;3.61
146;1;0.750;-0.550;-3.449;-0.17;0.02;0.02;0.19;-0.31;-3.22;-24.26;1.95
147;1;0.750;-0.650;-3.470;-0.14;0.03;0.01;0.07;-0.24;-2.25;-23.09;0.78
148;1;0.750;-0.750;-3.490;-0.11;0.03;0.00;0.00;-0.13;-1.72;-21.99;-0.03
149;1;0.750;-0.850;-3.510;-0.09;0.02;-0.01;-0.03;-0.03;-1.33;-21.08;-0.61
150;1;0.750;-0.950;-3.530;-0.08;0.02;-0.01;-0.05;0.03;-1.04;-20.27;-0.99
151;1;0.750;-1.050;-3.551;-0.08;0.01;-0.02;-0.07;0.07;-0.76;-19.52;-1.23
152;1;0.750;-1.150;-3.571;-0.07;0.01;-0.02;-0.09;0.10;-0.49;-18.85;-1.35
