Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
131;1;0.650;-1.050;-3.532;-0.02;0.01;-0.01;-0.02;0.06;0.01;-2.05;-0.31
132;1;0.650;-1.150;-3.553;-0.02;0.01;-0.01;-0.02;0.06;0.02;-2.07;-0.24
133;1;0.650;-1.250;-3.574;-0.02;0.00;-0.01;-0.03;0.06;-0.01;-2.08;-0.16
134;1;0.650;-1.350;-3.595;-0.01;0.00;-0.01;-0.04;0.06;-0.06;-2.09;-0.09
135;1;0.650;-1.450;-3.616;-0.01;0.00;-0.01;-0.04;0.05;-0.14;-2.09;-0.02
136;1;0.650;-1.550;-3.637;-0.01;-0.01;-0.01;-0.05;0.04;-0.25;-2.08;0.05
137;1;0.650;-1.650;-3.658;-0.01;-0.01;-0.01;-0.06;0.04;-0.40;-2.06;0.12
138;1;0.650;-1.750;-3.679;-0.01;-0.01;-0.01;-0.06;0.03;-0.57;-2.01;0.18
139;1;0.650;-1.850;-3.700;0.00;-0.02;-0.01;-0.07;0.03;-0.77;-1.96;0.23
140;1;0.650;-1.950;-3.721;0.00;-0.02;-0.01;-0.07;0.02;-0.99;-1.89;0.28
141;1;0.750;-0.050;-3.348;-0.07;-0.04;0.13;0.90;-0.38;-2.67;-4.11;0.92
142;1;0.750;-0.150;-3.368;-0.08;0.00;0.09;0.53;-0.20;-1.84;-3.49;0.27
143;1;0.750;-0.250;-3.388;-0.08;0.02;0.06;0.32;-0.14;-1.21;-3.03;-0.13
144;1;0.750;-0.350;-3.409;-0.06;0.03;0.04;0.19;-0.10;-0.77;-2.70;-0.37
145;1;0.750;-0.450;-3.429;-0.05;0.03;0.02;0.10;-0.07;-0.46;-2.47;-0.50
146;1;0.750;-0.550;-3.449;-0.04;0.03;0.01;0.05;-0.04;-0.26;-2.30;-0.54
147;1;0.750;-0.650;-3.470;-0.03;0.03;0.01;0.02;-0.02;-0.13;-2.20;-0.54
148;1;0.750;-0.750;-3.490;-0.02;0.03;0.00;0.00;0.01;-0.05;-2.13;-0.51
149;1;0.750;-0.850;-3.510;-0.02;0.02;0.00;-0.01;0.04;0.00;-2.09;-0.46
150;1;0.750;-0.950;-3.530;-0.02;0.01;0.00;-0.01;0.06;0.03;-2.08;-0.40
151;1;0.750;-1.050;-3.551;-0.02;0.01;-0.01;-0.02;0.07;0.04;-2.08;-0.34
152;1;0.750;-1.150;-3.571;-0.02;0.00;-0.01;-0.02;0.07;0.02;-2.09;-0.27
153;1;0.750;-1.250;-3.591;-0.02;0.00;-0.01;-0.03;0.06;-0.02;-2.11;-0.19
154;1;0.750;-1.350;-3.612;-0.02;0.00;-0.01;-0.03;0.06;-0.09;-2.12;-0.12
155;1;0.750;-1.450;-3.632;-0.02;-0.01;-0.01;-0.04;0.05;-0.19;-2.13;-0.04
156;1;0.750;-1.550;-3.652;-0.02;-0.01;-0.01;-0.05;0.05;-0.31;-2.13;0.03
157;1;0.750;-1.650;-3.673;-0.01;-0.01;-0.01;-0.05;0.04;-0.46;-2.11;0.10
158;1;0.750;-1.750;-3.693;-0.01;-0.02;-0.01;-0.06;0.04;-0.64;-2.09;0.17
159;1;0.750;-1.850;-3.713;-0.01;-0.02;-0.01;-0.06;0.03;-0.85;-2.04;0.24
160;1;0.750;-1.950;-3.734;-0.01;-0.02;-0.01;-0.07;0.03;-1.08;-1.98;0.30
161;1;0.850;-0.050;-3.372;-0.04;-0.02;0.10;0.72;-0.30;-2.30;-3.97;0.83
162;1;0.850;-0.150;-3.392;-0.05;0.01;0.07;0.42;-0.15;-1.52;-3.42;0.21
163;1;0.850;-0.250;-3.412;-0.05;0.02;0.05;0.26;-0.10;-0.96;-3.01;-0.16
164;1;0.850;-0.350;-3.431;-0.04;0.03;0.03;0.16;-0.07;-0.57;-2.71;-0.38
165;1;0.850;-0.450;-3.451;-0.03;0.03;0.02;0.09;-0.04;-0.31;-2.49;-0.50
166;1;0.850;-0.550;-3.471;-0.03;0.03;0.01;0.05;-0.02;-0.15;-2.34;-0.54
167;1;0.850;-0.650;-3.490;-0.02;0.03;0.01;0.02;0.01;-0.06;-2.23;-0.55
168;1;0.850;-0.750;-3.510;-0.02;0.02;0.00;0.01;0.04;0.00;-2.16;-0.52
169;1;0.850;-0.850;-3.530;-0.02;0.02;0.00;0.00;0.06;0.03;-2.12;-0.48
170;1;0.850;-0.950;-3.550;-0.02;0.01;0.00;-0.01;0.07;0.05;-2.11;-0.43
171;1;0.850;-1.050;-3.569;-0.02;0.01;0.00;-0.01;0.07;0.04;-2.11;-0.37
172;1;0.850;-1.150;-3.589;-0.02;0.00;-0.01;-0.02;0.07;0.01;-2.12;-0.30
173;1;0.850;-1.250;-3.609;-0.02;0.00;-0.01;-0.02;0.06;-0.05;-2.13;-0.23
174;1;0.850;-1.350;-3.628;-0.02;-0.01;-0.01;-0.03;0.06;-0.13;-2.15;-0.15
175;1;0.850;-1.450;-3.648;-0.02;-0.01;-0.01;-0.04;0.05;-0.24;-2.16;-0.07
176;1;0.850;-1.550;-3.668;-0.02;-0.01;-0.01;-0.04;0.05;-0.38;-2.17;0.01
177;1;0.850;-1.650;-3.687;-0.02;-0.02;-0.01;-0.05;0.04;-0.53;-2.16;0.09
178;1;0.850;-1.750;-3.707;-0.02;-0.02;-0.01;-0.05;0.04;-0.72;-2.15;0.17
179;1;0.850;-1.850;-3.727;-0.01;-0.02;-0.01;-0.06;0.03;-0.93;-2.12;0.24
180;1;0.850;-1.950;-3.746;-0.01;-0.02;-0.01;-0.07;0.03;-1.16;-2.06;0.31
181;1;0.950;-0.050;-3.397;-0.02;-0.01;0.08;0.57;-0.23;-1.95;-3.77;0.73
182;1;0.950;-0.150;-3.416;-0.03;0.01;0.06;0.34;-0.12;-1.23;-3.31;0.15
183;1;0.950;-0.250;-3.435;-0.03;0.02;0.04;0.21;-0.08;-0.74;-2.96;-0.20
184;1;0.950;-0.350;-3.454;-0.03;0.03;0.03;0.13;-0.04;-0.41;-2.69;-0.40
185;1;0.950;-0.450;-3.473;-0.02;0.03;0.02;0.08;-0.03;-0.21;-2.50;-0.50
186;1;0.950;-0.550;-3.492;-0.02;0.02;0.01;0.04;0.00;-0.09;-2.35;-0.55
187;1;0.950;-0.650;-3.511;-0.02;0.02;0.01;0.02;0.04;-0.02;-2.25;-0.56
188;1;0.950;-0.750;-3.530;-0.02;0.02;0.00;0.01;0.06;0.02;-2.19;-0.54
189;1;0.950;-0.850;-3.550;-0.02;0.01;0.00;0.00;0.07;0.04;-2.15;-0.50
190;1;0.950;-0.950;-3.569;-0.02;0.01;0.00;0.00;0.07;0.04;-2.13;-0.45
191;1;0.950;-1.050;-3.588;-0.02;0.00;0.00;-0.01;0.07;0.02;-2.13;-0.40
192;1;0.950;-1.150;-3.607;-0.03;0.00;0.00;-0.01;0.07;-0.03;-2.14;-0.33
193;1;0.950;-1.250;-3.626;-0.03;-0.01;-0.01;-0.02;0.06;-0.10;-2.16;-0.26
194;1;0.950;-1.350;-3.645;-0.03;-0.01;-0.01;-0.02;0.06;-0.19;-2.18;-0.18
195;1;0.950;-1.450;-3.664;-0.03;-0.01;-0.01;-0.03;0.05;-0.30;-2.20;-0.10
196;1;0.950;-1.550;-3.683;-0.02;-0.02;-0.01;-0.04;0.05;-0.44;-2.21;-0.02
197;1;0.950;-1.650;-3.702;-0.02;-0.02;-0.01;-0.04;0.05;-0.61;-2.21;0.07
198;1;0.950;-1.750;-3.721;-0.02;-0.02;-0.01;-0.05;0.04;-0.79;-2.21;0.16
199;1;0.950;-1.850;-3.740;-0.02;-0.02;-0.01;-0.06;0.04;-1.00;-2.19;0.25
200;1;0.950;-1.950;-3.759;-0.02;-0.03;-0.01;-0.06;0.03;-1.24;-2.15;0.33
201;1;1.050;-0.050;-3.422;0.00;0.00;0.06;0.45;-0.17;-1.61;-3.52;0.61
202;1;1.050;-0.150;-3.440;-0.01;0.02;0.05;0.27;-0.09;-0.98;-3.16;0.08
203;1;1.050;-0.250;-3.459;-0.02;0.02;0.03;0.17;-0.06;-0.56;-2.88;-0.23
204;1;1.050;-0.350;-3.477;-0.02;0.02;0.02;0.11;-0.03;-0.30;-2.66;-0.41
205;1;1.050;-0.450;-3.495;-0.02;0.02;0.02;0.07;0.00;-0.14;-2.48;-0.51
206;1;1.050;-0.550;-3.514;-0.02;0.02;0.01;0.04;0.04;-0.05;-2.36;-0.55
207;1;1.050;-0.650;-3.532;-0.02;0.01;0.01;0.02;0.05;0.00;-2.27;-0.56
208;1;1.050;-0.750;-3.551;-0.02;0.01;0.01;0.01;0.07;0.03;-2.21;-0.55
209;1;1.050;-0.850;-3.569;-0.02;0.01;0.00;0.01;0.07;0.03;-2.17;-0.52
210;1;1.050;-0.950;-3.588;-0.02;0.00;0.00;0.00;0.07;0.01;-2.15;-0.48
211;1;1.050;-1.050;-3.606;-0.03;0.00;0.00;0.00;0.07;-0.02;-2.15;-0.43
212;1;1.050;-1.150;-3.625;-0.03;-0.01;0.00;-0.01;0.07;-0.08;-2.16;-0.37
213;1;1.050;-1.250;-3.643;-0.03;-0.01;0.00;-0.01;0.06;-0.16;-2.18;-0.30
214;1;1.050;-1.350;-3.661;-0.03;-0.01;0.00;-0.02;0.06;-0.26;-2.20;-0.22
215;1;1.050;-1.450;-3.680;-0.03;-0.02;-0.01;-0.03;0.05;-0.38;-2.23;-0.14
216;1;1.050;-1.550;-3.698;-0.03;-0.02;-0.01;-0.03;0.05;-0.52;-2.25;-0.05
217;1;1.050;-1.650;-3.717;-0.03;-0.02;-0.01;-0.04;0.05;-0.68;-2.27;0.05
218;1;1.050;-1.750;-3.735;-0.03;-0.03;-0.01;-0.05;0.04;-0.86;-2.27;0.14
219;1;1.050;-1.850;-3.754;-0.02;-0.03;-0.01;-0.05;0.04;-1.07;-2.26;0.24
220;1;1.050;-1.950;-3.772;-0.02;-0.03;-0.01;-0.06;0.04;-1.30;-2.23;0.34
221;1;1.150;-0.050;-3.446;0.01;0.01;0.05;0.36;-0.13;-1.31;-3.22;0.47
222;1;1.150;-0.150;-3.464;0.00;0.02;0.04;0.22;-0.07;-0.77;-2.98;0.02
223;1;1.150;-0.250;-3.482;-0.01;0.02;0.03;0.14;-0.04;-0.43;-2.77;-0.25
224;1;1.150;-0.350;-3.500;-0.01;0.02;0.02;0.09;-0.01;-0.23;-2.59;-0.42
225;1;1.150;-0.450;-3.518;-0.01;0.02;0.02;0.05;0.03;-0.11;-2.46;-0.51
226;1;1.150;-0.550;-3.535;-0.02;0.01;0.01;0.04;0.05;-0.04;-2.35;-0.56
227;1;1.150;-0.650;-3.553;-0.02;0.01;0.01;0.03;0.06;-0.01;-2.27;-0.58
228;1;1.150;-0.750;-3.571;-0.02;0.01;0.01;0.02;0.07;0.00;-2.21;-0.57
229;1;1.150;-0.850;-3.589;-0.02;0.00;0.01;0.01;0.07;-0.01;-2.18;-0.55
230;1;1.150;-0.950;-3.607;-0.03;0.00;0.00;0.01;0.07;-0.04;-2.17;-0.51
231;1;1.150;-1.050;-3.625;-0.03;-0.01;0.00;0.00;0.07;-0.09;-2.17;-0.46
232;1;1.150;-1.150;-3.642;-0.03;-0.01;0.00;0.00;0.06;-0.15;-2.18;-0.41
233;1;1.150;-1.250;-3.660;-0.03;-0.01;0.00;-0.01;0.06;-0.24;-2.20;-0.34
234;1;1.150;-1.350;-3.678;-0.03;-0.02;0.00;-0.01;0.06;-0.34;-2.23;-0.26
235;1;1.150;-1.450;-3.696;-0.03;-0.02;0.00;-0.02;0.06;-0.46;-2.26;-0.18
236;1;1.150;-1.550;-3.714;-0.03;-0.02;-0.01;-0.03;0.05;-0.59;-2.30;-0.08
237;1;1.150;-1.650;-3.731;-0.03;-0.03;-0.01;-0.04;0.05;-0.75;-2.32;0.02
238;1;1.150;-1.750;-3.749;-0.03;-0.03;-0.01;-0.04;0.05;-0.93;-2.34;0.12
239;1;1.150;-1.850;-3.767;-0.03;-0.03;-0.01;-0.05;0.04;-1.14;-2.34;0.23
240;1;1.150;-1.950;-3.785;-0.03;-0.03;-0.01;-0.06;0.04;-1.35;-2.32;0.34
241;1;1.250;-0.050;-3.471;0.02;0.01;0.04;0.29;-0.09;-1.05;-2.89;0.33
242;1;1.250;-0.150;-3.488;0.00;0.02;0.03;0.19;-0.04;-0.61;-2.79;-0.05
243;1;1.250;-0.250;-3.505;0.00;0.02;0.02;0.12;-0.02;-0.34;-2.64;-0.28
244;1;1.250;-0.350;-3.523;-0.01;0.02;0.02;0.07;0.02;-0.19;-2.52;-0.42
245;1;1.250;-0.450;-3.540;-0.01;0.01;0.02;0.05;0.04;-0.10;-2.41;-0.51
246;1;1.250;-0.550;-3.557;-0.01;0.01;0.01;0.04;0.05;-0.06;-2.32;-0.56
