node_number;x[m];y[m];z[m]
1043.0;4.0;0.4;-0.875752114143
1044.0;4.0;0.8;-0.875786962388
1045.0;4.0;1.2;-0.875795253842
1046.0;4.0;1.6;-0.87579530024
1047.0;4.0;2.0;-0.875795275199
1048.0;4.0;2.4;-0.875795391899
1049.0;4.0;2.8;-0.875795474647
1050.0;4.0;3.2;-0.875795719236
1051.0;4.0;3.6;-0.875796322672
1052.0;4.0;4.0;-0.875795444558
1053.0;-0.1;-0.5;-0.0373610005028
1054.0;-0.1;-0.6;-0.0516964676177
1055.0;-0.1;-0.7;-0.0658752243392
1056.0;-0.1;-0.8;-0.0807865422193
1057.0;-0.1;-0.9;-0.0964245907565
1058.0;-0.1;-1.0;-0.112611204646
1059.0;-0.1;-1.1;-0.130027384298
1060.0;-0.1;-1.2;-0.150483178091
1061.0;-0.1;-1.3;-0.174529072594
1062.0;-0.1;-1.4;-0.198956460278
1063.0;-0.1;-1.5;-0.220388704328
1064.0;-0.1;-1.6;-0.241042136685
1065.0;-0.1;-1.7;-0.264841055493
1066.0;-0.1;-1.8;-0.291696232752
1067.0;-0.1;-1.9;-0.318993574314
1068.0;-0.1;-2.0;-0.345702725926
1069.0;-0.2;0.0;0.000810653162465
1070.0;-0.2;-0.1;0.000504189248268
1071.0;-0.2;-0.2;-0.00833516448234
1072.0;-0.2;-0.3;-0.021235870966
1073.0;-0.2;-0.4;-0.0346505618888
1074.0;-0.2;-0.5;-0.0481758995103
1075.0;-0.2;-0.6;-0.0619434206991
1076.0;-0.2;-0.7;-0.0763876993031
1077.0;-0.2;-0.8;-0.0919956952788
1078.0;-0.2;-0.9;-0.108511404054
1079.0;-0.2;-1.0;-0.125648354531
1080.0;-0.2;-1.1;-0.144097654962
1081.0;-0.2;-1.2;-0.16498131373
1082.0;-0.2;-1.3;-0.188215347656
1083.0;-0.2;-1.4;-0.212347813046
1084.0;-0.2;-1.5;-0.236294101294
1085.0;-0.2;-1.6;-0.260201189597
1086.0;-0.2;-1.7;-0.284871726254
1087.0;-0.2;-1.8;-0.310576066926
1088.0;-0.2;-1.9;-0.336673364796
1089.0;-0.2;-2.0;-0.362436484182
1090.0;-0.3;0.0;-0.00273690133947
1091.0;-0.3;-0.1;-0.00698020138459
1092.0;-0.3;-0.2;-0.021224289185
1093.0;-0.3;-0.3;-0.0363628941636
1094.0;-0.3;-0.4;-0.0478504081954
1095.0;-0.3;-0.5;-0.0591325063949
1096.0;-0.3;-0.6;-0.0725470560395
1097.0;-0.3;-0.7;-0.0877102979486
1098.0;-0.3;-0.8;-0.104094790107
1099.0;-0.3;-0.9;-0.121495858581
1100.0;-0.3;-1.0;-0.140018125762
1101.0;-0.3;-1.1;-0.159927587484
1102.0;-0.3;-1.2;-0.181009862663
1103.0;-0.3;-1.3;-0.202922786749
1104.0;-0.3;-1.4;-0.226443304989
1105.0;-0.3;-1.5;-0.252452045812
1106.0;-0.3;-1.6;-0.279474729585
1107.0;-0.3;-1.7;-0.305359301184
1108.0;-0.3;-1.8;-0.330078311172
1109.0;-0.3;-1.9;-0.354663184356
1110.0;-0.3;-2.0;-0.379326704411
1111.0;-0.4;0.0;-0.0119387405531
1112.0;-0.4;-0.1;-0.0216181281059
1113.0;-0.4;-0.2;-0.0346466105743
1114.0;-0.4;-0.3;-0.047849463824
1115.0;-0.4;-0.4;-0.0596942554654
1116.0;-0.4;-0.5;-0.0717345854037
1117.0;-0.4;-0.6;-0.0856217826816
1118.0;-0.4;-0.7;-0.101197970938
1119.0;-0.4;-0.8;-0.117800534808
1120.0;-0.4;-0.9;-0.135536148001
1121.0;-0.4;-1.0;-0.154856069342
1122.0;-0.4;-1.1;-0.175732347505
1123.0;-0.4;-1.2;-0.19767269451
1124.0;-0.4;-1.3;-0.220443213826
1125.0;-0.4;-1.4;-0.244345314633
1126.0;-0.4;-1.5;-0.269466593984
1127.0;-0.4;-1.6;-0.295048095309
1128.0;-0.4;-1.7;-0.320076707925
1129.0;-0.4;-1.8;-0.344291515621
1130.0;-0.4;-1.9;-0.368180613373
1131.0;-0.4;-2.0;-0.392192867398
1132.0;-0.5;0.0;-0.0249110491433
1133.0;-0.5;-0.1;-0.0373474253473
1134.0;-0.5;-0.2;-0.0481721979399
1135.0;-0.5;-0.3;-0.0591391671481
1136.0;-0.5;-0.4;-0.071741018779
1137.0;-0.5;-0.5;-0.0854926601034
1138.0;-0.5;-0.6;-0.100291670037
1139.0;-0.5;-0.7;-0.116136376957
1140.0;-0.5;-0.8;-0.132917544284
1141.0;-0.5;-0.9;-0.151049154435
1142.0;-0.5;-1.0;-0.170999804559
1143.0;-0.5;-1.1;-0.192626774834
1144.0;-0.5;-1.2;-0.215496266583
1145.0;-0.5;-1.3;-0.239225851063
1146.0;-0.5;-1.4;-0.263127884335
1147.0;-0.5;-1.5;-0.286480715512
1148.0;-0.5;-1.6;-0.309506954441
1149.0;-0.5;-1.7;-0.332812559736
1150.0;-0.5;-1.8;-0.356339117409
1151.0;-0.5;-1.9;-0.379842125694
1152.0;-0.5;-2.0;-0.403423232329
1153.0;-0.6;0.0;-0.0395808609899
1154.0;-0.6;-0.1;-0.0516712448452
1155.0;-0.6;-0.2;-0.061936638279
1156.0;-0.6;-0.3;-0.072553680257
1157.0;-0.6;-0.4;-0.0856291826643
1158.0;-0.6;-0.5;-0.10029374585
1159.0;-0.6;-0.6;-0.115577326372
1160.0;-0.6;-0.7;-0.131691641545
1161.0;-0.6;-0.8;-0.149178751456
1162.0;-0.6;-0.9;-0.168333528752
1163.0;-0.6;-1.0;-0.189144992049
1164.0;-0.6;-1.1;-0.211292884975
1165.0;-0.6;-1.2;-0.234298286099
1166.0;-0.6;-1.3;-0.25764068789
1167.0;-0.6;-1.4;-0.280719477412
1168.0;-0.6;-1.5;-0.303158055868
1169.0;-0.6;-1.6;-0.325262944417
1170.0;-0.6;-1.7;-0.347625995529
1171.0;-0.6;-1.8;-0.370382903968
1172.0;-0.6;-1.9;-0.393310278895
1173.0;-0.6;-2.0;-0.41626133121
1174.0;-0.7;0.0;-0.0547326419622
1175.0;-0.7;-0.1;-0.065872447118
1176.0;-0.7;-0.2;-0.0763855052913
1177.0;-0.7;-0.3;-0.0877134518096
1178.0;-0.7;-0.4;-0.101200912558
1179.0;-0.7;-0.5;-0.11613558287
1180.0;-0.7;-0.6;-0.13168987614
1181.0;-0.7;-0.7;-0.148369265177
1182.0;-0.7;-0.8;-0.16692569135
1183.0;-0.7;-0.9;-0.187251687619
1184.0;-0.7;-1.0;-0.208771304032
1185.0;-0.7;-1.1;-0.230963312535
1186.0;-0.7;-1.2;-0.253358978964
1187.0;-0.7;-1.3;-0.275600273742
1188.0;-0.7;-1.4;-0.297684086306
1189.0;-0.7;-1.5;-0.319799768867
1190.0;-0.7;-1.6;-0.341947145226
1191.0;-0.7;-1.7;-0.364052278608
1192.0;-0.7;-1.8;-0.386196311949
1193.0;-0.7;-1.9;-0.408404001966
1194.0;-0.7;-2.0;-0.430568986278
1195.0;-0.8;0.0;-0.0699401779393
1196.0;-0.8;-0.1;-0.0807982699515
1197.0;-0.8;-0.2;-0.0919984316258
1198.0;-0.8;-0.3;-0.10409653601
1199.0;-0.8;-0.4;-0.117800793844
1200.0;-0.8;-0.5;-0.132915112387
1201.0;-0.8;-0.6;-0.149175938045
1202.0;-0.8;-0.7;-0.166924543294
1203.0;-0.8;-0.8;-0.186470265196
1204.0;-0.8;-0.9;-0.207409328343
1205.0;-0.8;-1.0;-0.22898500549
1206.0;-0.8;-1.1;-0.250669814981
1207.0;-0.8;-1.2;-0.27220892697
1208.0;-0.8;-1.3;-0.293549781979
1209.0;-0.8;-1.4;-0.314912076976
1210.0;-0.8;-1.5;-0.336542131992
1211.0;-0.8;-1.6;-0.358336943244
1212.0;-0.8;-1.7;-0.380030319212
1213.0;-0.8;-1.8;-0.401581923047
1214.0;-0.8;-1.9;-0.423067919967
1215.0;-0.8;-2.0;-0.444504273322
1216.0;-0.9;0.0;-0.0856113456579
1217.0;-0.9;-0.1;-0.0964290001446
1218.0;-0.9;-0.2;-0.108512353904
1219.0;-0.9;-0.3;-0.12149744439
1220.0;-0.9;-0.4;-0.135536947052
1221.0;-0.9;-0.5;-0.151047950631
1222.0;-0.9;-0.6;-0.16833188489
1223.0;-0.9;-0.7;-0.187251184615
1224.0;-0.9;-0.8;-0.207409593693
1225.0;-0.9;-0.9;-0.228271889169
1226.0;-0.9;-1.0;-0.249278999321
1227.0;-0.9;-1.1;-0.270138508663
1228.0;-0.9;-1.2;-0.290878752063
1229.0;-0.9;-1.3;-0.311618215936
1230.0;-0.9;-1.4;-0.332413793608
1231.0;-0.9;-1.5;-0.353275940761
