element_number;x[m];y[m];z_middle[m];t[mm]
430.0;2.2;-1.8;0.761930478212;61.9054428172
431.0;2.2;-2.2;0.810665359604;61.6485951342
432.0;2.2;-2.6;0.859642065761;61.6609602344
433.0;2.2;-3.0;0.908612650299;61.6601853929
434.0;2.2;-3.4;0.957581876914;61.6569165695
435.0;2.2;-3.8;1.0065517873;61.6546674383
436.0;2.6;-0.2;0.671339482356;64.3188776582
437.0;2.6;-0.6;0.708801093615;63.5000869143
438.0;2.6;-1.0;0.746317889413;62.7439385578
439.0;2.6;-1.4;0.783684832099;61.6195638894
440.0;2.6;-1.8;0.821556147927;61.4420193765
441.0;2.6;-2.2;0.85964206732;61.6609561391
442.0;2.6;-2.6;0.897727755891;61.8358077971
443.0;2.6;-3.0;0.935815522576;61.8344696197
444.0;2.6;-3.4;0.973904019435;61.8344691482
445.0;2.6;-3.8;1.01199259005;61.834612948
446.0;3.0;-0.2;0.773975751043;62.8674007695
447.0;3.0;-0.6;0.800408898913;61.7623081291
448.0;3.0;-1.0;0.827107487012;61.1023282052
449.0;3.0;-1.4;0.854196317812;61.1621687492
450.0;3.0;-1.8;0.881414712566;61.4530668839
451.0;3.0;-2.2;0.908612653631;61.6601902567
452.0;3.0;-2.6;0.935815524081;61.8344870008
453.0;3.0;-3.0;0.963021322643;61.9703893573
454.0;3.0;-3.4;0.990227442677;61.970610866
455.0;3.0;-3.8;1.01743362931;61.9706466446
456.0;3.4;-0.2;0.876598085633;61.3986897521
457.0;3.4;-0.6;0.892249485734;60.4564993469
458.0;3.4;-1.0;0.908546124571;60.7328171804
459.0;3.4;-1.4;0.924936381918;61.1716556947
460.0;3.4;-1.8;0.941262825488;61.442431614
461.0;3.4;-2.2;0.957581885766;61.6568912256
462.0;3.4;-2.6;0.973904025954;61.8344662648
463.0;3.4;-3.0;0.990227447195;61.9706708659
464.0;3.4;-3.4;1.00655096437;62.0617542218
465.0;3.4;-3.8;1.02287454197;62.0613951409
466.0;3.8;-0.2;0.979445902726;60.3505104735
467.0;3.8;-0.6;0.98473752175;60.4132369879
468.0;3.8;-1.0;0.990216795461;60.8374930788
469.0;3.8;-1.4;0.995669708556;61.1668365977
470.0;3.8;-1.8;1.00111146262;61.4329171521
471.0;3.8;-2.2;1.00655179659;61.6545906751
472.0;3.8;-2.6;1.01199259658;61.83461625
473.0;3.8;-3.0;1.01743363408;61.9706221055
474.0;3.8;-3.4;1.02287454273;62.0614580034
475.0;3.8;-3.8;1.02831579267;62.1074893733
476.0;0.05;0.05;0.154942193179;309.024930284
477.0;0.05;0.15;0.15390345677;311.804921998
478.0;0.05;0.25;0.154865920121;309.340796376
479.0;0.05;0.35;0.164153613835;289.702443036
480.0;0.05;0.45;0.178507203616;262.811345985
481.0;0.05;0.55;0.193401524329;237.245067018
482.0;0.05;0.65;0.20794845773;213.357329136
483.0;0.05;0.75;0.222675768568;189.74945342
484.0;0.05;0.85;0.23785914642;166.42795457
485.0;0.05;0.95;0.253744839479;144.475100407
486.0;0.05;1.05;0.270644462196;124.563329538
487.0;0.05;1.15;0.289289127902;107.889676965
488.0;0.05;1.25;0.310651483858;96.5076981354
489.0;0.05;1.35;0.333896370266;89.3095434302
490.0;0.05;1.45;0.356541825262;81.4012542889
491.0;0.05;1.55;0.378098041731;71.0171758368
492.0;0.05;1.65;0.401179124044;63.2131436343
493.0;0.05;1.75;0.427230401953;61.2647911934
494.0;0.05;1.85;0.454534866472;62.0706980636
495.0;0.05;1.95;0.481687876174;62.6957464682
496.0;0.15;0.05;0.153797182877;311.596185019
497.0;0.15;0.15;0.155401710328;309.12246395
498.0;0.15;0.25;0.162286866744;292.521002427
499.0;0.15;0.35;0.17522032315;266.557168899
500.0;0.15;0.45;0.19046744777;237.9430244
501.0;0.15;0.55;0.204965160595;212.395617187
502.0;0.15;0.65;0.218893581421;189.351356915
503.0;0.15;0.75;0.233531477124;167.43659815
504.0;0.15;0.85;0.24919492351;146.45259772
505.0;0.15;0.95;0.265454088136;126.534837759
506.0;0.15;1.05;0.28238767272;108.045605843
507.0;0.15;1.15;0.301430976354;93.4788264338
508.0;0.15;1.25;0.324070446831;85.8805632901
