element_number;x[m];y[m];t[mm]
306.0;1.55;-0.55;70.1422627405
307.0;1.55;-0.65;69.8667622484
308.0;1.55;-0.75;69.894600444
309.0;1.55;-0.85;69.5134572734
310.0;1.55;-0.95;68.8166375573
311.0;1.55;-1.05;68.251374428
312.0;1.55;-1.15;67.9181914608
313.0;1.55;-1.25;67.5814509267
314.0;1.55;-1.35;67.0937114842
315.0;1.55;-1.45;66.5374826819
316.0;1.55;-1.55;66.0310113914
317.0;1.55;-1.65;65.5092919095
318.0;1.55;-1.75;64.9828138597
319.0;1.55;-1.85;64.418598025
320.0;1.55;-1.95;63.8409838322
321.0;1.65;-0.05;63.1891052386
322.0;1.65;-0.15;62.146556803
323.0;1.65;-0.25;72.7277038192
324.0;1.65;-0.35;75.7085300333
325.0;1.65;-0.45;71.3629342969
326.0;1.65;-0.55;68.1126450621
327.0;1.65;-0.65;68.586165379
328.0;1.65;-0.75;69.7813304065
329.0;1.65;-0.85;69.4469359917
330.0;1.65;-0.95;68.2513923456
331.0;1.65;-1.05;67.5035598062
332.0;1.65;-1.15;67.3282808769
333.0;1.65;-1.25;67.1217636798
334.0;1.65;-1.35;66.6075460239
335.0;1.65;-1.45;65.9969603174
336.0;1.65;-1.55;65.5092395105
337.0;1.65;-1.65;65.1117503976
338.0;1.65;-1.75;64.6167056186
339.0;1.65;-1.85;64.0541537336
340.0;1.65;-1.95;63.4654946315
341.0;1.75;-0.05;61.2433118563
342.0;1.75;-0.15;60.2257851839
343.0;1.75;-0.25;72.1268218462
344.0;1.75;-0.35;76.2522909095
345.0;1.75;-0.45;71.237634858
346.0;1.75;-0.55;67.0731742356
347.0;1.75;-0.65;67.6467067746
348.0;1.75;-0.75;69.3842016019
349.0;1.75;-0.85;69.1744691442
350.0;1.75;-0.95;67.7342158386
351.0;1.75;-1.05;66.8428225322
352.0;1.75;-1.15;66.7444891987
353.0;1.75;-1.25;66.6309581792
354.0;1.75;-1.35;66.1088395239
355.0;1.75;-1.45;65.4611863679
356.0;1.75;-1.55;64.9827442646
